set,label,query,expected,mode,rerank_intent,rank,reciprocal_rank,hit_at_5,hit_at_20,latency_ms,top1
standard_patched_embedding,exact_name,hybrid_search,dagayn/search.py::hybrid_search,hybrid,exact,6,0.1667,0,1,13.006,docs/ARCHITECTURE.md::hybrid-search
standard_patched_embedding,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,hybrid,exact,6,0.1667,0,1,1.92,tests/test_tools.py::FakeRustStore.rebuild_fts_index
standard_patched_embedding,exact_name,rrf_merge,dagayn/search.py::rrf_merge,hybrid,exact,2,0.5,1,1,1.298,tests/test_search.py::TestHybridSearch.test_rrf_merge_empty
standard_patched_embedding,exact_name,full_build,dagayn/incremental.py::full_build,hybrid,exact,2,0.5,1,1,1.885,tests/test_multilang.py::_TempRepoBuildMixin._full_build
standard_patched_embedding,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,hybrid,exact,1,1.0,1,1,1.483,dagayn/search.py::detect_query_kind_boost
standard_patched_embedding,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,hybrid,exact,1,1.0,1,1,2.288,crates/dagayn-graph/src/lib.rs::GraphStore
standard_patched_embedding,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,hybrid,exact,1,1.0,1,1,1.185,dagayn/embeddings.py::EmbeddingProvider
standard_patched_embedding,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,hybrid,exact,1,1.0,1,1,1.156,dagayn/embeddings.py::LocalEmbeddingProvider
standard_patched_embedding,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,hybrid,purpose,2,0.5,1,1,1.185,docs/ARCHITECTURE.md::hybrid-search--body-1
standard_patched_embedding,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,hybrid,purpose,1,1.0,1,1,1.22,dagayn/embeddings.py::LocalEmbeddingProvider
standard_patched_embedding,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,hybrid,purpose,1,1.0,1,1,1.202,dagayn/search.py::detect_query_kind_boost
standard_patched_embedding,conceptual,incremental graph construction,dagayn/incremental.py::full_build,hybrid,purpose,0,0,0,0,1.218,tests/test_registry.py::TestRegistry.setup_method
