repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn-standard,metadata,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8185,629.886,9.615,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8185,629.886,0.125,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8185,629.886,0.083,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8185,629.886,0.088,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8185,629.886,0.08,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8185,629.886,0.071,20,2,0.5,1,1
dagayn-standard,metadata,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8185,629.886,0.077,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8185,629.886,0.081,20,2,0.5,1,1
dagayn-standard,metadata,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,8185,629.886,0.071,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,8185,629.886,0.071,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,8185,629.886,0.078,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,8185,629.886,0.079,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8185,1184.815,9.521,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8185,1184.815,0.107,20,7,0.1429,0,1
dagayn-standard,body,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8185,1184.815,0.089,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8185,1184.815,0.096,20,0,0.0,0,0
