repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn-standard,metadata,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8185,636.093,10.509,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8185,636.093,0.136,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8185,636.093,0.087,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8185,636.093,0.091,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8185,636.093,0.08,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8185,636.093,0.071,20,2,0.5,1,1
dagayn-standard,metadata,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8185,636.093,0.073,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8185,636.093,0.065,20,2,0.5,1,1
dagayn-standard,metadata,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,8185,636.093,0.073,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,8185,636.093,0.067,20,0,0.0,0,0
dagayn-standard,metadata,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,8185,636.093,0.083,20,1,1.0,1,1
dagayn-standard,metadata,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,8185,636.093,0.082,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8185,1185.236,9.932,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8185,1185.236,0.107,20,7,0.1429,0,1
dagayn-standard,body,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8185,1185.236,0.087,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8185,1185.236,0.095,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8185,1185.236,0.085,20,1,1.0,1,1
dagayn-standard,body,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8185,1185.236,0.068,20,2,0.5,1,1
dagayn-standard,body,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8185,1185.236,0.064,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8185,1185.236,0.061,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,8185,1185.236,0.069,20,0,0.0,0,0
dagayn-standard,body,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,8185,1185.236,0.062,20,1,1.0,1,1
dagayn-standard,body,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,8185,1185.236,0.063,20,1,1.0,1,1
dagayn-standard,body,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,8185,1185.236,0.075,20,0,0.0,0,0
dagayn-standard,structured,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8185,1177.956,9.412,20,0,0.0,0,0
dagayn-standard,structured,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8185,1177.956,0.097,20,7,0.1429,0,1
dagayn-standard,structured,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8185,1177.956,0.071,20,0,0.0,0,0
dagayn-standard,structured,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8185,1177.956,0.099,20,0,0.0,0,0
dagayn-standard,structured,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8185,1177.956,0.077,20,1,1.0,1,1
dagayn-standard,structured,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8185,1177.956,0.067,20,2,0.5,1,1
dagayn-standard,structured,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8185,1177.956,0.057,20,0,0.0,0,0
dagayn-standard,structured,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8185,1177.956,0.058,20,0,0.0,0,0
dagayn-standard,structured,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,8185,1177.956,0.064,20,0,0.0,0,0
dagayn-standard,structured,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,8185,1177.956,0.058,20,1,1.0,1,1
dagayn-standard,structured,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,8185,1177.956,0.063,20,1,1.0,1,1
dagayn-standard,structured,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,8185,1177.956,0.071,20,0,0.0,0,0
dagayn-standard,narrative,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8185,1833.74,9.379,20,0,0.0,0,0
dagayn-standard,narrative,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8185,1833.74,0.115,20,2,0.5,1,1
dagayn-standard,narrative,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8185,1833.74,0.078,20,13,0.0769,0,1
dagayn-standard,narrative,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8185,1833.74,0.088,20,0,0.0,0,0
dagayn-standard,narrative,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8185,1833.74,0.091,20,1,1.0,1,1
dagayn-standard,narrative,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8185,1833.74,0.07,20,3,0.3333,1,1
dagayn-standard,narrative,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8185,1833.74,0.072,20,4,0.25,1,1
dagayn-standard,narrative,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8185,1833.74,0.067,20,0,0.0,0,0
dagayn-standard,narrative,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,8185,1833.74,0.077,20,0,0.0,0,0
dagayn-standard,narrative,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,8185,1833.74,0.066,20,1,1.0,1,1
dagayn-standard,narrative,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,8185,1833.74,0.082,20,1,1.0,1,1
dagayn-standard,narrative,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,8185,1833.74,0.086,20,0,0.0,0,0
