mode_text,set,label,query,expected,search_mode,rerank_intent,rank,reciprocal_rank,hit_at_5,hit_at_20,latency_ms,top1
material,standard,exact_name,hybrid_search,dagayn/search.py::hybrid_search,hybrid,exact,1,1.0,1,1,68.43,dagayn/search.py::hybrid_search
material,standard,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,hybrid,exact,4,0.25,1,1,55.27,tests/test_tools.py::FakeRustStore.rebuild_fts_index
material,standard,exact_name,rrf_merge,dagayn/search.py::rrf_merge,hybrid,exact,1,1.0,1,1,34.995,dagayn/search.py::rrf_merge
material,standard,exact_name,full_build,dagayn/incremental.py::full_build,hybrid,exact,3,0.3333,1,1,15.483,tests/test_multilang.py::_TempRepoBuildMixin._full_build
material,standard,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,hybrid,exact,1,1.0,1,1,37.696,dagayn/search.py::detect_query_kind_boost
material,standard,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,hybrid,exact,1,1.0,1,1,16.412,dagayn/graph/core.py::GraphStore.__enter__
material,standard,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,hybrid,exact,1,1.0,1,1,14.606,dagayn/embeddings.py::EmbeddingProvider
material,standard,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,hybrid,exact,1,1.0,1,1,38.636,dagayn/embeddings.py::LocalEmbeddingProvider
material,standard,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,hybrid,purpose,2,0.5,1,1,35.75,docs/ARCHITECTURE.md::hybrid-search--body-1
material,standard,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,hybrid,purpose,2,0.5,1,1,173.601,README.md::search-quality--body-3
material,standard,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,hybrid,purpose,1,1.0,1,1,16.284,dagayn/search.py::detect_query_kind_boost
material,standard,conceptual,incremental graph construction,dagayn/incremental.py::full_build,hybrid,purpose,6,0.1667,0,1,15.773,docs/refactoring-priority-report-2026-05-04.md::p1-split-build-and-incremental-orchestration
