repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn-local-worktree,metadata,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8175,631.354,9.605,20,0,0.0,0,0
dagayn-local-worktree,metadata,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8175,631.354,0.119,20,1,1.0,1,1
dagayn-local-worktree,metadata,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8175,631.354,0.084,20,0,0.0,0,0
dagayn-local-worktree,metadata,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8175,631.354,0.097,20,0,0.0,0,0
dagayn-local-worktree,metadata,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8175,631.354,0.098,20,1,1.0,1,1
dagayn-local-worktree,metadata,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8175,631.354,0.078,20,2,0.5,1,1
dagayn-local-worktree,metadata,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8175,631.354,0.067,20,1,1.0,1,1
dagayn-local-worktree,metadata,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8175,631.354,0.066,20,2,0.5,1,1
dagayn-local-worktree,metadata,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,8175,631.354,0.058,20,0,0.0,0,0
dagayn-local-worktree,metadata,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,8175,631.354,0.076,20,0,0.0,0,0
dagayn-local-worktree,metadata,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,8175,631.354,0.074,20,1,1.0,1,1
dagayn-local-worktree,metadata,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,8175,631.354,0.088,20,0,0.0,0,0
dagayn-local-worktree,body,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8175,1190.065,10.755,20,0,0.0,0,0
dagayn-local-worktree,body,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8175,1190.065,0.131,20,7,0.1429,0,1
dagayn-local-worktree,body,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8175,1190.065,0.089,20,0,0.0,0,0
dagayn-local-worktree,body,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8175,1190.065,0.085,20,0,0.0,0,0
dagayn-local-worktree,body,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8175,1190.065,0.104,20,1,1.0,1,1
dagayn-local-worktree,body,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8175,1190.065,0.079,20,2,0.5,1,1
dagayn-local-worktree,body,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8175,1190.065,0.079,20,0,0.0,0,0
dagayn-local-worktree,body,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8175,1190.065,0.081,20,0,0.0,0,0
dagayn-local-worktree,body,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,8175,1190.065,0.071,20,0,0.0,0,0
dagayn-local-worktree,body,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,8175,1190.065,0.211,20,1,1.0,1,1
dagayn-local-worktree,body,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,8175,1190.065,0.151,20,1,1.0,1,1
dagayn-local-worktree,body,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,8175,1190.065,0.106,20,0,0.0,0,0
dagayn-local-worktree,structured,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,8175,1208.309,8.846,20,0,0.0,0,0
dagayn-local-worktree,structured,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,8175,1208.309,0.108,20,7,0.1429,0,1
dagayn-local-worktree,structured,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,8175,1208.309,0.086,20,0,0.0,0,0
dagayn-local-worktree,structured,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,8175,1208.309,0.073,20,0,0.0,0,0
dagayn-local-worktree,structured,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,8175,1208.309,0.082,20,1,1.0,1,1
dagayn-local-worktree,structured,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,8175,1208.309,0.06,20,2,0.5,1,1
dagayn-local-worktree,structured,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,8175,1208.309,0.063,20,0,0.0,0,0
dagayn-local-worktree,structured,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,8175,1208.309,0.065,20,0,0.0,0,0
