repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn,metadata,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,0,0.035,0.053,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,0,0.035,0.015,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,0,0.035,0.008,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,0,0.035,0.006,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,0,0.035,0.007,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,0,0.035,0.006,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,0,0.035,0.005,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,0,0.035,0.008,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,0,0.035,0.007,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,0,0.035,0.007,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,0,0.035,0.007,0,0,0.0,0,0
dagayn,metadata,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,0,0.035,0.006,0,0,0.0,0,0
dagayn,body,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,0,0.017,0.032,0,0,0.0,0,0
dagayn,body,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,0,0.017,0.01,0,0,0.0,0,0
dagayn,body,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,0,0.017,0.007,0,0,0.0,0,0
dagayn,body,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,0,0.017,0.008,0,0,0.0,0,0
dagayn,body,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,0,0.017,0.007,0,0,0.0,0,0
dagayn,body,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,0,0.017,0.006,0,0,0.0,0,0
dagayn,body,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,0,0.017,0.006,0,0,0.0,0,0
dagayn,body,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,0,0.017,0.006,0,0,0.0,0,0
dagayn,body,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,0,0.017,0.007,0,0,0.0,0,0
dagayn,body,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,0,0.017,0.008,0,0,0.0,0,0
dagayn,body,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,0,0.017,0.006,0,0,0.0,0,0
dagayn,body,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,0,0.017,0.008,0,0,0.0,0,0
dagayn,structured,eval-token-hash,exact_name,hybrid_search,dagayn/search.py::hybrid_search,0,0.011,0.02,0,0,0.0,0,0
dagayn,structured,eval-token-hash,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,0,0.011,0.014,0,0,0.0,0,0
dagayn,structured,eval-token-hash,exact_name,rrf_merge,dagayn/search.py::rrf_merge,0,0.011,0.006,0,0,0.0,0,0
dagayn,structured,eval-token-hash,exact_name,full_build,dagayn/incremental.py::full_build,0,0.011,0.005,0,0,0.0,0,0
dagayn,structured,eval-token-hash,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,0,0.011,0.006,0,0,0.0,0,0
dagayn,structured,eval-token-hash,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,0,0.011,0.005,0,0,0.0,0,0
dagayn,structured,eval-token-hash,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,0,0.011,0.005,0,0,0.0,0,0
dagayn,structured,eval-token-hash,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,0,0.011,0.008,0,0,0.0,0,0
dagayn,structured,eval-token-hash,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,0,0.011,0.007,0,0,0.0,0,0
dagayn,structured,eval-token-hash,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,0,0.011,0.008,0,0,0.0,0,0
dagayn,structured,eval-token-hash,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,0,0.011,0.007,0,0,0.0,0,0
dagayn,structured,eval-token-hash,conceptual,incremental graph construction,dagayn/incremental.py::full_build,0,0.011,0.006,0,0,0.0,0,0
